Sr. No.,Machine No.,Notification,Read By,Read On,Notification Date
"1","C9022","Solution Inject error","","","29-Nov-2018 12:28:56 PM",
"2","C9022","machine was inactive due to Solution Inject error for 0 days, 0 hours, 0 minutes, and 0 seconds and machine active now.","","","29-Nov-2018 12:28:56 PM",
"3","C9022","error resolved, machine resume now","","","29-Nov-2018 12:28:56 PM",
"4","C9026","Pure Water Tank Low","","","29-Nov-2018 12:28:11 PM",
"5","C9026","machine was inactive due to Pure Water Tank Low for 0 days, 0 hours, 1 minutes, and 18 seconds and machine active now.","","","29-Nov-2018 12:27:06 PM",
"6","C9026","error resolved, machine resume now","","","29-Nov-2018 12:27:06 PM",
"7","C9026","Pure Water Tank Low","","","29-Nov-2018 12:25:44 PM",
"8","C9026","error resolved, machine resume now","","","29-Nov-2018 12:24:41 PM",
"9","C9026","machine was inactive due to Pure Water Tank Low for 0 days, 0 hours, 1 minutes, and 8 seconds and machine active now.","","","29-Nov-2018 12:24:41 PM",
"10","C9022","machine was inactive due to Solution Inject error for 0 days, 0 hours, 0 minutes, and 1 seconds and machine active now.","","","29-Nov-2018 12:23:33 PM",
"11","C9022","error resolved, machine resume now","","","29-Nov-2018 12:23:33 PM",
"12","C9026","Pure Water Tank Low","","","29-Nov-2018 12:23:32 PM",
"13","C9022","Solution Inject error","","","29-Nov-2018 12:23:29 PM",
"14","C9026","machine was inactive due to Pure Water Tank Low for 0 days, 0 hours, 1 minutes, and 18 seconds and machine active now.","","","29-Nov-2018 12:22:33 PM",
"15","C9026","error resolved, machine resume now","","","29-Nov-2018 12:22:33 PM",
"16","C9026","Pure Water Tank Low","","","29-Nov-2018 12:21:11 PM",
"17","C9026","error resolved, machine resume now","","","29-Nov-2018 12:20:06 PM",
"18","C9026","machine was inactive due to Pure Water Tank Low for 0 days, 0 hours, 0 minutes, and 45 seconds and machine active now.","","","29-Nov-2018 12:20:06 PM",
"19","C9026","error resolved, machine resume now","","","29-Nov-2018 12:19:19 PM",
"20","C9026","machine was inactive due to Pure Water Tank Low for 0 days, 1 hours, 34 minutes, and 34 seconds and machine active now.","","","29-Nov-2018 12:19:19 PM",
"21","C9026","Pure Water Tank Low","","","29-Nov-2018 12:19:19 PM",
"22","C9022","Solution Inject error","","","29-Nov-2018 12:18:18 PM",
"23","C9022","error resolved, machine resume now","","","29-Nov-2018 12:18:18 PM",
"24","C9022","machine was inactive due to Solution Inject error for 0 days, 0 hours, 0 minutes, and 0 seconds and machine active now.","","","29-Nov-2018 12:18:18 PM",
"25","C9022","Solution Inject error","","","29-Nov-2018 12:18:16 PM",
"26","C9022","machine was inactive due to Solution Inject error for 0 days, 0 hours, 0 minutes, and 0 seconds and machine active now.","","","29-Nov-2018 12:18:16 PM",
"27","C9022","error resolved, machine resume now","","","29-Nov-2018 12:18:16 PM",
"28","C9022","machine was inactive due to Solution Inject error for 0 days, 0 hours, 0 minutes, and 0 seconds and machine active now.","","","29-Nov-2018 12:18:12 PM",
"29","C9022","Solution Inject error","","","29-Nov-2018 12:18:12 PM",
"30","C9022","error resolved, machine resume now","","","29-Nov-2018 12:18:12 PM",
"31","C9022","machine was inactive due to Solution Inject error for 0 days, 0 hours, 0 minutes, and 5 seconds and machine active now.","","","29-Nov-2018 12:12:55 PM",
"32","C9022","error resolved, machine resume now","","","29-Nov-2018 12:12:55 PM",
"33","C9022","Solution Inject error","","","29-Nov-2018 12:12:49 PM",
"34","C9022","error resolved, machine resume now","","","29-Nov-2018 12:02:08 PM",
"35","C9022","machine was inactive due to Solution Inject error for 0 days, 0 hours, 0 minutes, and 1 seconds and machine active now.","","","29-Nov-2018 12:02:08 PM",
"36","C9022","Solution Inject error","","","29-Nov-2018 12:02:04 PM",
"37","C9022","machine was inactive due to Solution Inject error for 0 days, 0 hours, 0 minutes, and 0 seconds and machine active now.","","","29-Nov-2018 11:56:46 AM",
"38","C9022","Solution Inject error","","","29-Nov-2018 11:56:46 AM",
